a.	[ə.]	n. 天主教徒
literary	[ˈlɪtərˌɛri]	adj. 文学的；书面的；精通文学的
litter	[ˈlɪtər]	n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱 ｜v. 乱丢；给…垫褥草；把…弄得乱七八糟
lively	[ˈlaɪvli]	adj. 活泼的；生动的；真实的；生气勃勃的 ｜n. (Lively)人名；(英)莱夫利
liver	[ˈlɪvər]	n. 肝脏；生活者，居民
loaf	[loʊf]	n. 条，一条面包；块；游荡 ｜v. 游荡；游手好闲；虚度光阴
lobby	[ˈlɑbi]	n. 大厅；休息室；会客室；游说议员的团体 ｜v. 对……进行游说
locality	[loʊˈkæləti]	n. 地区
locate	[ˈloʊˌkeɪt]	v. 查出,探出,查找…地点；使…坐落于,位于
locker	[ˈlɑkər]	n. 柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜
locomotive	[ˌloʊkəˈmoʊtɪv]	n. 机车,火车头 ｜adj. 运动的,移动的,运载的
lodge	[lɑʤ]	n. 旅馆；门房；集会处；山林小屋 ｜v. 提出；寄存；借住；嵌入
lofty	[ˈlɔfti]	adj. 高的；崇高的；高级的；高傲的 ｜n. (Lofty)人名；(英)洛夫蒂
log	[lɔg]	n. 原木,圆木；航海日志 ｜v. 伐木
logic	[ˈlɑʤɪk]	n. 逻辑,逻辑学 ｜adj. 逻辑的
logical	[ˈlɑʤɪkəl]	adj. 逻辑的,符合逻辑的
lonely	[ˈloʊnli]	adj. 寂寞的；偏僻的 ｜n. 孤独者
longitude	[ˈlɑnʤəˌtud]	n. [地理] 经度；经线
longterm	[ˈlɒŋtɜːm]	adj. 长期
loom	[lum]	n. 织布机；若隐若现的景象 ｜v. 可怕地出现；朦胧地出现；隐约可见
loop	[lup]	v. 打环；翻筋斗 ｜n. 环；圈；弯曲部分；翻筋斗
loose	[lus]	adj. 宽松的；散漫的；不牢固的；不精确的 ｜v. 释放；开船；放枪 ｜adv. 松散地 ｜n. 放纵；放任；发射
loosen	[ˈlusən]	v. 放松；松开 ｜n. (Loosen)人名；(德)洛森
lorry	[ˈlɔri]	n. （英）卡车；[车辆] 货车；运料车
lottery	[ˈlɑtəri]	n. 彩票；碰运气的事，难算计的事；抽彩给奖法
loudspeaker	[ˈlaʊdˌspikər]	n. 喇叭，扬声器；扩音器
lounge	[laʊnʤ]	n. 休息室；闲逛；躺椅；（英）酒吧间 ｜v. 闲逛；懒洋洋地躺卧；闲混
lover	[ˈləvər]	n. 爱人，恋人；爱好者
loyal	[lɔɪəl]	adj. (to)忠诚的,忠贞的 ｜n. 效忠的臣民；忠实信徒
loyalty	[ˈlɔɪəlti]	n. 忠诚
lubricate	[ˈlubrɪˌkeɪt]	v. 润滑；涂油；起润滑剂作用
luggage	[ˈləgɪʤ]	n. 行李；皮箱
lumber	[ˈləmbər]	v. 伐木；喧闹地向前走；笨重地行动，缓慢地移动 ｜n. 木材；废物，无用的杂物；隆隆声
lump	[ləmp]	n. 块，块状；肿块；瘤；很多；笨人 ｜v. 混在一起；使成块状；忍耐；笨重地移动 ｜adj. 成团的；总共的 ｜adv. 很；非常
lunar	[ˈluːnə]	adj. 月亮的，月球的；阴历的；银的；微亮的 ｜n. (Lunar)人名；(西)卢纳尔
lung	[ləŋ]	n. 肺
lure	[lʊr]	n. 吸引力,魅力,诱惑物 ｜v. 引诱，吸引
luxury	[ˈləgʒəri]	n. 奢侈,华贵；奢侈品 ｜adj. 奢华的,豪华的
lyric	[ˈlɪrɪk]	adj. 抒情的 ｜n. 抒情诗；歌词
machinery	[məˈʃinəri]	n. 机械；机器；机构；机械装置
madame	[ˈmædəm]	n. （法语）夫人；太太
magistrate	[ˈmæʤɪˌstreɪt]	n. 地方法官；文职官员；治安推事
magnet	[ˈmægnət]	n. 磁铁；[电磁] 磁体；磁石
magnetic	[mægˈnɛtɪk]	adj. 地磁的；有磁性的；有吸引力的
magnificent	[mægˈnɪfɪsənt]	adj. 华丽的,高尚的,宏伟的
magnify	[ˈmægnəˌfaɪ]	v. 放大,扩大；夸大,夸张
magnitude	[ˈmægnəˌtud]	n. 大小；量级；[地震] 震级；重要；光度
maid	[meɪd]	n. 女仆；少女 ｜vt. 侍候；做新娘的女傧相 ｜vi. 当女仆
maiden	[ˈmeɪdn]	adj. 未婚的，处女的；初次的 ｜n. 少女；处女
mainland	[ˈmeɪnˌlænd]	n. 大陆；本土 ｜adj. 大陆的；本土的
majesty	[ˈmæʤəsti]	n. 威严；最高权威，王权；雄伟；权威
malignant	[məˈlɪgnənt]	adj. 恶性的，致命的；恶意的，恶毒的 ｜n. 保王党员；怀恶意的人
mammal	[ˈmæməl]	n. [脊椎] 哺乳动物
maneuver	[məˈnuvər]	n. (manoeuvre)移动;运用,操作 ｜v. 移动
manifest	[ˈmænəˌfɛst]	v. 表明,证明,显示 ｜adj. 明显的
manipulate	[məˈnɪpjəˌleɪt]	v. 操纵，控制；(熟练地)使用，操作；(巧妙地)处理
mankind	[ˈmænˈkaɪnd]	n. 人类
manual	[ˈmænjuəl]	adj. 手工的,体力的 ｜n. 手册,指南
manufacture	[ˌmænjʊˈfæktʃə]	v. 制造,加工 ｜n. 制造,制造业
manuscript	[ˈmænjəˌskrɪpt]	n. 手稿,原稿 ｜adj. 手写的
marathon	[ˈmɛrəˌθɑn]	adj. 马拉松式的 ｜n. 马拉松赛跑；马拉松式的活动
marble	[ˈmɑrbəl]	n. 大理石,云石 ｜adj. 大理石的；冷酷无情的
margin	[ˈmɑrʤən]	n. 页边空白 ｜vt. 加边于；加旁注于
marginal	[ˈmɑːdʒɪnl]	adj. 记在页边的,旁注的
marital	[ˈmærətəl]	adj. 婚姻的,夫妻之间的
marry	[ˈmɛri]	v. 结婚,嫁,娶 ｜n. (Marry)人名；(阿拉伯)马雷；(法)马里
marvellous	[ˈmɑrvələs]	adj. 令人惊奇的； 奇迹般的； 〈口〉妙极的
marvelous	[ˈmɑrvələs]	adj. (marvellous)惊人的,奇迹般的,妙极的
marxist	[ˈmɑrksɪst]	n. 马克思主义者 ｜adj. 马克思主义的
masculine	[ˈmæskjələn]	adj. 男性的；阳性的；男子气概的 ｜n. 男性；阳性，阳性词
mask	[mæsk]	n. 面具；口罩；掩饰 ｜v. 掩饰；戴面具；化装
massacre	[ˈmæsəkər]	v. 残杀,集体屠杀 ｜n. 残杀,大屠杀
masterpiece	[ˈmæstərˌpis]	n. 杰作；绝无仅有的人
mat	[mæt]	n. 垫；垫子；衬边 ｜v. 缠结；铺席于……上 ｜adj. 无光泽的
mathematical	[ˌmæθəˈmætɪkəl]	adj. 数学的，数学上的；精确的
mature	[məˈʧʊr]	adj. 成熟的；充分考虑的；到期的；成年人的 ｜v. 成熟；到期
meadow	[ˈmɛˌdoʊ]	n. 草地；牧场
meantime	[ˈminˌtaɪm]	n. 其时，其间 ｜adv. 同时；其间
mechanic	[mɪˈkænɪk]	n. 技工，机修工 ｜adj. 手工的
mechanical	[mɪˈkænɪkl]	adj. 机械的；力学的；呆板的；无意识的；手工操作的
mechanism	[ˈmɛkəˌnɪzəm]	n. 机制；原理，途径；进程；机械装置；技巧
medal	[ˈmɛdəl]	n. 奖章,勋章,纪念章
medieval	[mɪˈdjivəl]	adj. 中世纪的,中古(时代)的；老式的,原始的
meditate	[ˈmɛdəˌteɪt]	v. 想,考虑；(尤指宗教上的)沉思,冥想
meditation	[ˌmɛdəˈteɪʃən]	n. 默想，冥想；沉思，深思，思考
megawatt	[ˈmeɡəwɒt]	n. 兆瓦
melody	[ˈmɛlədi]	n. 旋律；歌曲；美妙的音乐
melon	[ˈmɛlən]	n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西
melt	[mɛlt]	v. 融化， 熔化
membership	[ˈmɛmbərˌʃɪp]	n. 会员资格,成员资格
memo	[ˈmɛˌmoʊ]	n. 备忘录
memorandum	[ˌmɛmərˈændəm]	n. 备忘录
memorial	[məˈmɔriəl]	adj. 记忆的,纪念的 ｜n. 纪念物,纪念碑,纪念馆
menace	[ˈmɛnɪs]	n. 有危险性的人(或物)；威胁，威吓 ｜v. 威胁，威吓
mend	[mɛnd]	v. 修理，修补；改善；修改 ｜n. 好转，改进；修补处
menu	[ˈmɛnju]	n. 菜单
merchandise	[ˈmərʧənˌdaɪz]	n. 商品,货物 ｜v. 买卖；推销
merchant	[ˈmərʧənt]	n. 商人；批发商 ｜adj. 商业的，商人的
mercury	[ˈmərkjəri]	n. 水银,汞
mercy	[ˈmərsi]	n. 仁慈,怜悯,宽恕
mere	[mɪr]	adj. 仅仅,只不过 ｜n. 小湖；池塘
merely	[ˈmɪrli]	adv. 仅仅，只不过
merge	[mərʤ]	v. (使)结合，(使)合并，(使)合为一体 ｜n. (Merge)人名；(意)梅尔杰
merger	[ˈmɜːdʒə]	n. 合并
merit	[ˈmɛrət]	n. 优点，成绩 ｜v. 值得
merry	[ˈmɛri]	adj. 欢乐的,愉快的 ｜n. 甜樱桃
messenger	[ˈmɛsɪnʤər]	n. 报信者，送信者；先驱
metaphor	[ˈmɛtəfɔr]	n. 隐喻，暗喻
metre	[ˈmitər]	n. (meter)米，公尺；仪表，计量器
metric	[ˈmɛtrɪk]	adj. 米制的,公制的 ｜n. 度量标准
metropolis	[məˈtrɑpələs]	n. 大都市；首府；重要中心
metropolitan	[ˌmɛtrəˈpɑlətən]	adj. 大城市的，大都会的 ｜n. 大城市人；大主教；宗主国的公民
micro	[ˈmaɪkrəʊ]	adj. 微型
microphone	[ˈmaɪkrəˌfoʊn]	n. 扩音器，麦克风
microscope	[ˈmaɪkrəˌskoʊp]	n. 显微镜
midst	[mɪst]	n. 中间,当中 ｜prep. 在…中间（等于amidst）
migrate	[ˈmaɪˌgreɪt]	v. 移动；随季节而移居；移往
mild	[maɪld]	adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的 ｜n. （英国的一种）淡味麦芽啤酒
milestone	[ˈmaɪlstəʊn]	n. 节点
militant	[ˈmɪlətənt]	adj. 好战的 ｜n. 富有战斗性的人；好斗者；激进分子
mill	[mɪl]	n. 磨粉机； 磨坊；作坊； 工厂
millimeter	[ˈmɪləˌmitər]	n. (millimetre)毫米
millimetre	[ˈmɪləˌmitər]	n. 毫米
millionaire	[ˌmɪljəˈnɛr]	n. 百万富翁；大富豪 ｜adj. 100万以上人口的
millisecond	[ˈmɪlisekənd]	n. 毫秒
mineral	[ˈmɪnərəl]	n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示） ｜adj. 矿物的；矿质的
mingle	[ˈmɪŋgəl]	vi. 混合起来， 相混合；相交往 ｜vt. 使混合
miniature	[ˈmɪnɪˌʧʊr]	adj. 微型的，小规模的 ｜n. 缩图；微型画；微型图画绘画术 ｜vt. 是…的缩影
minimize	[ˈmɪnəˌmaɪz]	vt. 使减到最少， 使降到最低
minority	[məˈnɔrəti]	n. 少数民族；少数派；未成年 ｜adj. 少数的；属于少数派的
minus	[ˈmaɪnəs]	adj. 负的； 减的 ｜prep. 减去 ｜n. 负号； 减号
miracle	[ˈmɪrəkəl]	n. 奇迹,令人惊奇的人(或事)
mirror	[ˈmɪrər]	n. 镜子 ｜v. 反映,反射
mischief	[ˈmɪsʧəf]	n. 恶作剧；伤害；顽皮；不和
miserable	[ˈmɪzərəbəl]	adj. 悲惨的；痛苦的；卑鄙的
misery	[ˈmɪzəri]	n. 痛苦，悲惨；不幸；苦恼；穷困
misfortune	[mɪsˈfɔrʧən]	n. 不幸；灾祸，灾难
mislead	[mɪsˈlid]	v. 误导；带错
missile	[ˈmɪsəl]	n. 导弹；投射物 ｜adj. 导弹的；可投掷的；用以发射导弹的
missionary	[ˈmɪʃəˌnɛri]	adj. 传教的；传教士的 ｜n. 传教士
mist	[mɪst]	n. 薄雾；视线模糊不清；模糊不清之物 ｜v. 下雾；变模糊
mistress	[ˈmɪstrəs]	n. 情妇；女主人；主妇；女教师；女能人
mitigation	[ˌmɪtɪˈɡeɪʃn]	n. 缓解
mixture	[ˈmɪksʧər]	n. 混合；混合物；混合剂
moan	[moʊn]	v. 抱怨，悲叹；呻吟 ｜n. 呻吟声；悲叹
mob	[mɑb]	n. 暴民，乱民 ｜v. 围攻
mobilize	[ˈmoʊbəˌlaɪz]	v. (mobilise)动员,赋予可动性；赋予可动性
mock	[mɑk]	n. 英国模拟考试（mocks） ｜v. 愚弄，嘲弄 ｜adj. 仿制的，模拟的，虚假的，不诚实的
moderate	[ˈmɑdərˌeɪt]	adj. 有节制的；中等的,适度的；温和的,稳健的 ｜v. 变缓和，变弱
modernization	[ˌmɑdərnəˈzeɪʃən]	n. (modernisation)现代化
modest	[ˈmɑdəst]	adj. 谦虚的 ｜n. (Modest)人名；(罗)莫代斯特；(德)莫德斯特；(俄)莫杰斯特
modify	[ˈmɑdəˌfaɪ]	v. 更改,修改
module	[ˈmɒdjuːl]	n. 单元；组件,模块,模件；(航天器的)舱
moist	[mɔɪst]	adj. 潮湿的；多雨的；含泪的 ｜n. 潮湿
moisture	[ˈmɔɪsʧər]	n. 水分；湿度；潮湿；降雨量
mold	[moʊld]	n. 模子， 铸型 ｜vt. 浇铸， 造型； 塑造， 形成
molecule	[ˈmɑləˌkjul]	n. [化学] 分子；微小颗粒，微粒
momentum	[moʊˈmɛntəm]	n. 势头；[物] 动量；动力；冲力
monarch	[ˈmɑˌnɑrk]	n. 帝王，君主，最高统治者
monetary	[ˈmɑnəˌtɛri]	adj. 金融的,货币的
monitor	[ˈmɑnətər]	n. 监视器；显示器；班长 ｜v. 监控,监测
monkey	[ˈməŋki]	n. 猴子 ｜v. 胡闹；捣蛋
monopoly	[məˈnɑpəli]	n. 垄断；独占；专营
monotonous	[məˈnɑtənəs]	adj. 单调的,无变化的
monster	[ˈmɑnstər]	n. 怪物,妖怪,畸形的动植物 ｜adj. 巨大的，庞大的
monthly	[ˈmənθli]	adj. 每月的 ｜adv. 每月一次,按月 ｜n. 月刊
monument	[ˈmɑnjəmənt]	n. 纪念碑,纪念馆；遗迹 ｜vt. 为…树碑
mood	[mud]	n. 心情,情绪
moral	[ˈmɔrəl]	adj. 道德的；精神上的；品性端正的 ｜n. 道德；寓意
morality	[ˌmɔˈræləˌti]	n. 道德；品行，美德
moreover	[mɔˈroʊvər]	adv. 再者， 加之， 而且
mortal	[ˈmɔrtəl]	adj. 凡人的；致死的；终有一死的；不共戴天的 ｜n. 人类，凡人
mortgage	[ˈmɔrgɪʤ]	n. 抵押 ｜vt. 抵押
mosaic	[moʊˈzeɪɪk]	adj. 摩西的；拼成的；嵌花式的 ｜n. 马赛克；镶嵌；镶嵌细工
mosquito	[məˈskitoʊ]	n. 蚊子
moss	[mɔs]	n. 苔藓；泥沼 ｜vt. 使长满苔藓
motel	[moʊˈtɛl]	n. (附有停车场的)汽车旅馆
motivate	[ˈmoʊtəˌveɪt]	v. 作为…的动机；促动，激励，鼓励
motivation	[ˌməʊtɪˈveɪʃn]	n. 动力
motive	[ˈmoʊtɪv]	n. 动机,目的 ｜adj. 发动的,运动的 ｜vt. 使产生动机，激起
mould	[moʊld]	v. 发霉 ｜n. 模具；霉
mount	[maʊnt]	v. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等） ｜n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
mourn	[mɔrn]	v. 哀悼；忧伤；服丧
mouse	[maʊs]	n. 鼠标；老鼠；胆小羞怯的人 ｜v. 探出
mud	[məd]	v. 弄脏；用泥涂 ｜n. 泥；诽谤的话；无价值的东西
mug	[məg]	n. 杯子；脸；苦读者 ｜v. 扮鬼脸，做怪相
multiply	[ˈməltəˌplaɪ]	v. 乘；使增加；使繁殖；使相乘 ｜adv. 多样地；复合地 ｜adj. 多层的；多样的
multitude	[ˈməltəˌtud]	n. 群众；多数
municipal	[mjuˈnɪsəpəl]	adj. 市政府的，市的，市办的
murmur	[ˈmərmər]	n. 低语；低语声；低声抱怨；潺潺声 ｜v. 低声说；私下抱怨；发出轻柔持续的声音
muscle	[ˈməsəl]	n. 肌肉；力量 ｜v. 加强；使劲搬动；使劲挤出
muscular	[ˈməskjələr]	adj. 肌肉的；肌肉发达的；强健的
mushroom	[ˈməʃrum]	n. 蘑菇，伞菌；蘑菇形物体；暴发户 ｜adj. 蘑菇的；蘑菇形的；迅速生长的 ｜v. 迅速增加；采蘑菇；迅速生长
musician	[mjuˈzɪʃən]	n. 音乐家
mute	[mjut]	adj. 哑的；沉默的；无声的 ｜v. 减弱……的声音；使……柔和 ｜n. 哑巴；弱音器；闭锁音
mutter	[ˈmətər]	v. 咕哝；喃喃自语 ｜n. 咕哝；喃喃低语
mutton	[ˈmətən]	n. 羊肉
mutual	[mˈjuʧuəl]	adj. 共同的；相互的，彼此的
mysterious	[mɪˈstɪriəs]	adj. 神秘的；不可思议的；难解的
mystery	[ˈmɪstəri]	n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
myth	[mɪθ]	n. 神话；虚构的人，虚构的事
nail	[neɪl]	v. 钉；使固定；揭露 ｜n. [解剖] 指甲；钉子
naive	[naɪiv]	adj. 天真的,幼稚的
naked	[ˈneɪkəd]	adj. 裸体的；无装饰的；无证据的；直率的
namely	[ˈneɪmli]	adv. 即,也就是
nap	[næp]	n. 小睡，打盹儿；细毛；孤注一掷 ｜v. 使拉毛
napkin	[ˈnæpkɪn]	n. 餐巾；餐巾纸；尿布
narrative	[ˈnɛrətɪv]	n. 叙述；故事；讲述 ｜adj. 叙事的，叙述的；叙事体的
narrow	[ˈnɛroʊ]	adj. 狭窄的，有限的；勉强的；精密的；度量小的 ｜n. 海峡；狭窄部分，隘路 ｜v. 使变狭窄
nasty	[ˈnæsti]	adj. 下流的；肮脏的；脾气不好的；险恶的 ｜n. 令人不快的事物
nationality	[ˌnæʃəˈnælɪti]	n. 国籍，国家；民族；部落
naughty	[ˈnɔti]	adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
naval	[ˈneɪvəl]	adj. 海军的；军舰的 ｜n. (Naval)人名；(西、德、印)纳瓦尔
navigation	[ˌnævəˈgeɪʃən]	n. 航行；航海
neat	[nit]	adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
necessitate	[nəˈsɛsəˌteɪt]	v. 使成为必需，需要；迫使
necessity	[nəˈsɛsɪti]	n. 需要；必然性；必需品
necklace	[ˈnɛkləs]	n. 项链
needle	[ˈnidəl]	n. 针；指针；刺激；针状物 ｜v. 缝纫；做针线
negate	[nɪˈɡeɪt]	v. 抵消
neglect	[nɪˈglɛkt]	v. 忽视，忽略 ｜n. 疏忽
negligible	[ˈnɛglɪʤəbəl]	adj. 可忽略不计的，微不足道的
negotiate	[nɪˈgoʊʃiˌeɪt]	v. 谈判，商议；转让；越过
negro	[ˈnigroʊ]	n. 黑人 ｜adj. 黑人的
neighbor	[ˈneɪbər]	n. 邻居 ｜adj. 邻近的 ｜v. 友好；毗邻而居
neighborhood	[ˈneɪbərˌhʊd]	n. 附近；街坊；接近；街区
neighbourhood	[ˈneɪbərˌhʊd]	n. 邻居； 四邻； 街道， 住宅区
nephew	[ˈnɛfju]	n. 侄子；外甥
nerve	[nərv]	n. 神经；勇气；[植] 叶脉 ｜v. 鼓起勇气
nervous	[ˈnərvəs]	adj. 神经的；紧张不安的；强健有力的
nest	[nɛst]	n. 巢，窝；安乐窝；温床 ｜v. 筑巢；嵌套
neutral	[ˈnutrəl]	adj. 中立的，中性的；中立国的；非彩色的 ｜n. 中立国；中立者；非彩色；齿轮的空档
neutron	[ˈnuˌtrɑn]	n. 【核】 中子
nevertheless	[ˌnɛvərðəˈlɛs]	adv. 仍然， 不过
nickel	[ˈnɪkəl]	n. 镍；镍币；五分镍币 ｜v. 镀镍于
nickname	[ˈnɪkˌneɪm]	n. 绰号，浑名 ｜v. 给…起绰号
niece	[nis]	n. 外甥女，侄女
nightmare	[ˈnaɪtˌmɛr]	n. 恶梦；可怕的事物，无法摆脱的恐惧 ｜adj. 可怕的；噩梦似的
nitrogen	[ˈnaɪtrəʤən]	n. [化学] 氮
noble	[ˈnoʊbəl]	adj. 高尚的；贵族的；惰性的；宏伟的 ｜n. 贵族 ｜vt. 抓住；逮捕
nod	[nɑd]	n. 点头；打盹；摆动 ｜v. 点头；点头表示
noisy	[ˈnɔɪzi]	adj. 嘈杂的；喧闹的；聒噪的
nominal	[ˈnɑmənəl]	adj. 名义上的 ｜n. [语] 名词性词
nominate	[ˈnɑməˌneɪt]	v. 提名；任命
nonetheless	[ˌnənðəˈlɛs]	adv. 尽管如此，但是
nonsense	[ˈnɑnsɛns]	n. 胡说， 废话
noon	[nun]	n. 中午；正午；全盛期
norm	[nɔrm]	n. 标准，规范
normalization	[ˌnɔrməlɪˈzeɪʃən]	n. 正常化；标准化；正规化；常态化
northeast	[ˌnɔrˈθist]	adj. 东北的；向东北的；来自东北的 ｜n. 东北 ｜adv. 向东北；来自东北
northwest	[ˌnɔrθˈwɛst]	adj. 西北的；向西北的；来自西北的 ｜n. 西北 ｜adv. 在西北；向西北；来自西北
nostalgic	[nɔˈstælʤɪk]	adj. 怀旧的
notable	[ˈnoʊtəbəl]	adj. 值得注意的，显著的；著名的 ｜n. 名人，显要人物
notebook	[ˈnoʊtˌbʊk]	n. 笔记本，笔记簿；手册
noticeable	[ˈnoʊtəsəbəl]	adj. 显而易见的，显著的；值得注意的
notify	[ˈnoʊtəˌfaɪ]	v. 通告，通知；公布
notion	[ˈnoʊʃən]	n. 概念；见解；打算
notorious	[noʊˈtɔriəs]	adj. 声名狼藉的，臭名昭著的
notwithstanding	[ˌnɑtwɪθˈstændɪŋ]	adv. 尽管，仍然 ｜prep. 尽管，虽然
noun	[naʊn]	n. 名词
nourish	[nərɪʃ]	v. 滋养；怀有；使健壮
novelty	[ˈnɑvəlti]	n. 新奇；新奇的事物；新颖小巧而廉价的物品
nowadays	[ˈnaʊəˌdeɪz]	adv. 现今；时下 ｜n. 当今
nowhere	[ˈnoʊˌwɛr]	adv. 任何地方都不， 没有地方
nucleus	[ˈnukliəs]	n. 核，核心；原子核
nuisance	[ˈnusəns]	n. 讨厌的人；损害；麻烦事；讨厌的东西
numb	[nəm]	v. 使麻木；使发愣；使失去感觉 ｜adj. 麻木的；发愣的
numerical	[nuˈmɛrɪkəl]	adj. 数值的；数字的；用数字表示的（等于numeric）
nurse	[nərs]	v. 看护，护理；照顾；培养；给…喂奶 ｜n. 护士；奶妈，保姆
nursery	[ˈnərsəri]	n. 苗圃；托儿所；温床
nurture	[ˈnərʧər]	v. 养育；鼓励；培植 ｜n. 养育；教养；营养物
nut	[nət]	n. 螺母，螺帽；坚果；难对付的人，难解的问题 ｜v. 采坚果
nutrition	[nuˈtrɪʃən]	n. 营养，营养学；营养品
nylon	[ˈnaɪˌlɑn]	n. 尼龙，[纺] 聚酰胺纤维；尼龙袜
oak	[oʊk]	n. 橡树；橡木色；橡木家具 ｜adj. 栎树的；栎木制的
oar	[ɔr]	n. 桨；橹；桨手 ｜vt. 划（船） ｜vi. 划行
oath	[oʊθ]	n. 誓言，誓约；诅咒，咒骂
obedience	[oʊˈbidiəns]	n. 顺从；服从；遵守
obedient	[oʊˈbidiənt]	adj. 顺从的，服从的；孝顺的
obesity	[əˈbisəti]	n. 肥大， 肥胖
obey	[oʊˈbeɪ]	v. 服从，听从；按照……行动 ｜n. (Obey)人名；(英、法)奥贝
objection	[əˈbʤɛkʃən]	n. 异议,反对的理由；反对,不喜欢
objective	[əˈbʤɛktɪv]	n. 目标,目的 ｜adj. 客观的,真实的
obligation	[ˌɑbləˈgeɪʃən]	n. 义务,责任
oblige	[əˈblaɪʤ]	v. 强迫,迫使
obscure	[əbˈskjʊr]	adj. 模糊的,晦涩的；暗的,朦胧的 ｜v. 使…模糊不清，掩盖；隐藏；使难理解 ｜n. 某种模糊的或不清楚的东西
observation	[ˌɒbzəˈveɪʃn]	n. 观察；监视；观察报告
observe	[əbˈzərv]	v. 庆祝
obsession	[əbˈsɛʃən]	n. 痴迷；困扰；[内科][心理] 强迫观念
obsolete	[ˌɑbsəˈlit]	adj. 已废弃的,过时的 ｜n. 废词；陈腐的人 ｜vt. 淘汰；废弃
obstacle	[ˈɑbstəkəl]	n. 障碍，干扰；妨害物
obstruct	[əbˈstrəkt]	v. 妨碍；阻塞；遮断
obstruction	[əbˈstrəkʃən]	n. 障碍；阻碍；妨碍
obtain	[əbˈteɪn]	v. 获得,得到
occasion	[əˈkeɪʒən]	n. 时机，机会；场合；理由 ｜v. 引起，惹起
occasional	[ɔˈkeɪʒənəl]	adj. 偶然的；临时的；特殊场合的
occlusion	[əˈkluːʒn]	n. 遮挡
occupation	[ˌɑkjəˈpeɪʃən]	n. 职业,工作；占领,占据
occupy	[ˈɑkjəˌpaɪ]	v. 占,占用；占据,占领；使忙碌,使从事
occur	[əˈkər]	v. 发生；出现
occurrence	[əˈkərəns]	n. 事件,事故,发生的事情；发生,出现
odd	[ɑd]	adj. 奇数的；古怪的；剩余的；临时的；零散的 ｜n. 奇数；怪人；奇特的事物
odds	[ɑdz]	n. 几率；胜算；不平等；差别
odor	[ˈoʊdər]	n. 气味；名声
odour	[ˈoʊdər]	n. 气味； 名声
offend	[əˈfɛnd]	v. 冒犯；使…不愉快
offensive	[əˈfɛnsɪv]	adj. 攻击的；冒犯的；无礼的；讨厌的 ｜n. 攻势；攻击
offset	[ˈɔfˌsɛt]	n. 抵消，补偿；平版印刷；支管 ｜v. 抵消；弥补；用平版印刷术印刷
offspring	[ˈɔfˌsprɪŋ]	n. 后代，子孙；产物
omit	[oʊˈmɪt]	vt. 省略， 删去；遗漏， 忽略
onion	[ˈənjən]	n. 洋葱；洋葱头
opaque	[oʊˈpeɪk]	adj. 不透明的；不传热的；迟钝的 ｜n. 不透明物 ｜vt. 使不透明；使不反光
opera	[ˈɑprə]	n. 歌剧；歌剧院；歌剧团
operate	[ˈɒpəreɪt]	v. 运转；动手术；起作用
operational	[ˌɑpərˈeɪʃənəl]	adj. 操作的；运作的
operator	[ˈɑpərˌeɪtər]	n. 经营者；操作员；话务员；行家
opponent	[əˈpoʊnənt]	n. 对手；反对者；敌手 ｜adj. 对立的；敌对的
oppose	[əˈpoʊz]	v. 反对,使对立,使对抗,使相对
oppress	[əˈprɛs]	v. 压迫，压抑；使……烦恼；使……感到沉重
opt	[ɑpt]	v. 选择
optical	[ˈɒptɪkl]	adj. 光学的；眼睛的，视觉的
optics	[ˈɒptɪks]	n. 光学
optimal	[ˈɒptɪml]	adj. 最佳
optimistic	[ˌɒptɪˈmɪstɪk]	adj. 乐观的；乐观主义的
optimize	[ˈɒptɪmaɪz]	v. 优化
optimum	[ˈɑptɪməm]	adj. 最适宜的 ｜n. 最佳效果；最适宜条件
optional	[ˈɔpʃənəl]	adj. 可选择的，随意的 ｜n. 选修科目
oral	[ˈɔrəl]	adj. 口头的，口述的 ｜n. 口试
orbit	[ˈɔːbɪt]	n. 轨道；眼眶；势力范围；生活常规 ｜v. 盘旋；绕轨道运行
orchard	[ˈɔrʧərd]	n. 果园；果树林
orchestra	[ˈɔrkəstrə]	n. 管弦乐队
orderly	[ˈɔrdərli]	adj. 整齐的,有条理的；有秩序的 ｜n. 勤务兵 ｜adv. 顺序地；依次地
ordinary	[ˈɔrdəˌnɛri]	adj. 普通的,平凡的,平常的；平庸的 ｜n. 普通；平常的人（或事）
ore	[ɔr]	n. 矿；矿石
organ	[ˈɔrgən]	n. [生物] 器官；机构；风琴；管风琴；嗓音
organic	[ɔrˈgænɪk]	adj. [有化] 有机的；组织的；器官的；根本的
organisation	[ˌɔrgənɪˈzeɪʃən]	n. 组织， 机构； 体制， 结构
organism	[ˈɔrgəˌnɪzəm]	n. 有机体；生物体；微生物
